species,stakeno,Color,soil,Treatment,feedstock,temperature,trtno,repno,crop,tcn,tcngkg,log10tcngkg,arctcn,oc,arcoc,C/N ratio,leafaluminum,leaflog10aluminum,leafcalcium,leaflog10calcium,leafcopper,leaflog10copper,leafiron,leaflog10iron,leafpotassium,leaflog10potassium,leafpotassiumgg,leaflog10potassiummgg,leafmagnesium,leaflog10magnesium,leafmanganese,leaflog10manganese,leafsodium,leaflog10sodium,leafphosphorus,leaflog10phosphorus,leafzinc,leaflog10zinc,revisedrootdw,log10totrootdw,shdw,logshootdw,Ngshoot,log10Ngshoot,Alshoot,log10Alshoot,Cagshoot,log10Cagshoot,Feshoot,log10Feshoot,Kgshoot,log10Kgshoot,Mgshoot,log10Mgshoot,Mnshoot,Log10Mnshoot,Nashoot,log10Nashoot,Pgshoot,log10Pgshoot,Znshoot,log10Znshoot,Combined Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,343,White,Norfolk,Control,,,1,1,LS,1.8094,18.094,1.2575,0.134922928,40.085,0.685586577,22.15375263,111.4893305,2.0,5785.711297,3.7624,,,92.1332636,1.9644,16135.29289,4.2078,16.1353,1.2078,3287.92887,3.5169,167.9617155,2.2252,289.4853556,2.4616,3103.556485,3.4919,98.1039749,1.9917,0.353,-0.452,1.439,0.158090973,0.026037266,-1.58440462,160.4331467,2.205294102,8.325638556,0.920417553,132.5797663,2.122477249,23.21868646,1.365837647,4.731329644,0.674983208,0.241696909,-0.616728904,0.416569427,-0.380312607,4.466017782,0.649920448,141.1716199,2.149747398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,344,White,Norfolk,Control,,,1,2,LS,1.96125,19.6125,1.2925,0.140506495,39.535,0.679968639,20.15806246,150.9152878,2.2,5191.097122,3.7153,,,111.6854317,2.0480,15984.71223,4.2037,15.9847,1.2037,3160.701439,3.4998,136.2616906,2.1344,317.7715827,2.5021,2841.906475,3.4536,72.13633094,1.8582,0.291,-0.536,1.407,0.148324963,0.027594788,-1.559172946,212.3378099,2.327027334,7.303873651,0.863553252,157.1414023,2.196290624,22.49049011,1.35199892,4.447106924,0.648077572,0.191720199,-0.717332129,0.447104617,-0.349590845,3.99856241,0.601903879,101.4958176,2.006448146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,345,White,Norfolk,Control,,,1,3,LS,2.05835,20.5835,1.3135,0.143966309,40.15,0.686249658,19.50591493,85.10620155,1.9,5585.077519,3.7470,,,79.68081395,1.9014,17313.75969,4.2384,17.3138,1.2384,3791.337209,3.5788,182.9800388,2.2624,450.9689922,2.6541,2702.848837,3.4318,76.7003876,1.8848,0.154,-0.812,1.125,0.051191125,0.023156438,-1.635328254,95.74447674,1.98111373,6.283212209,0.798181728,89.6409157,1.952506284,19.47797965,1.289543908,4.26525436,0.629944936,0.205852544,-0.686443762,0.507340116,-0.294700796,3.040704942,0.48297428,86.28793605,1.935950081,DO reweighed root 0.155 original OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,346,White,Norfolk,Control,,,1,4,LS,1.467,14.67,1.1664,0.121417885,40.435,0.689154945,27.56305385,92.18676471,2.0,4454.411765,3.6488,,,67.05386029,1.8264,15120.20221,4.1796,15.1202,1.1796,2735.955882,3.4371,128.7270221,2.1097,318.0698529,2.5025,2679.466912,3.4280,59.23639706,1.7726,0.236,-0.627,1.579,0.198409634,0.02316393,-1.635187756,145.5629015,2.163050704,7.033516176,0.847172491,105.8780454,2.024805915,23.87479928,1.377939729,4.320074338,0.63549122,0.203259968,-0.691948147,0.502232298,-0.299095362,4.230878254,0.626430528,93.53427096,1.970970766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,347,White,Norfolk,Control,,,1,5,LS,1.84355,18.4355,1.2657,0.136198078,39.23,0.67684745,21.27959643,194.5791667,2.3,5450.604167,3.7364,,,135.2222917,2.1310,17046.54167,4.2316,17.0465,1.2316,3631.604167,3.5601,177.8927083,2.2502,359.0625,2.5552,3350.6875,3.5251,92.416875,1.9658,0.25,-0.602,1.174,0.069705088,0.021643277,-1.664676982,228.4359417,2.358764436,6.399009292,0.806112741,158.7509704,2.200716389,20.01263992,1.301304381,4.263503292,0.629766603,0.20884604,-0.680173756,0.421539375,-0.375161853,3.933707125,0.594802022,108.4974113,2.035419376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,348,White,Norfolk,Control,,,1,6,LS,3.08505,30.8505,1.4893,0.17655899,37.395,0.657973296,12.12135946,203.7744898,2.3,7287.673469,3.8626,,,153.1910204,2.1852,23621.83673,4.3733,23.6218,1.3733,4921.204082,3.6921,291.8306122,2.4651,550.1693878,2.7405,4196.979592,3.6229,98.27,1.9924,0.172,-0.764,0.817,-0.08772479,0.025204859,-1.598515736,166.4837582,2.221371871,5.954029224,0.774810962,125.1570637,2.097455366,19.29904061,1.28553572,4.020623735,0.604293432,0.23842561,-0.622647097,0.44948839,-0.347281522,3.428932327,0.535158914,80.28659,1.904643013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,349,Green,Norfolk,PC-350,PC,350,2,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO Pulled out by mistake no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,350,Green,Norfolk,PC-350,PC,350,2,2,LS,1.6583,16.583,1.2197,0.129133593,39.46,0.679201525,23.79545317,104.9521661,2.0,5091.227437,3.7068,,,95.54314079,1.9802,14645.90253,4.1657,14.6459,1.1657,2848.465704,3.4546,161.5684116,2.2084,217.8194946,2.3381,2795.703971,3.4465,68.95974729,1.8386,0.434,-0.362,1.587,0.200604292,0.026317221,-1.579759973,166.5590875,2.221568333,8.079777942,0.907399425,151.6269644,2.180776441,23.24304731,1.366293066,4.520515072,0.655187922,0.256409069,-0.591066618,0.345679538,-0.461326327,4.436782202,0.64706811,109.439119,2.039172588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,351,Green,Norfolk,PC-350,PC,350,2,3,LS,2.9256,29.256,1.4662,0.171889039,39.01,0.674593437,13.33401695,119.9023109,2.1,7977.205882,3.9019,,,115.0693277,2.0610,24363.65546,4.3867,24.3637,1.3867,5834.87395,3.7660,259.0105042,2.4133,493.4180672,2.6932,4977.10084,3.6970,125.6855042,2.0993,0.216,-0.665,0.812,-0.09039049,0.023755872,-1.624229023,97.36067647,1.988383583,6.477491176,0.81140683,93.43629412,1.970515605,19.78328824,1.296298479,4.737917647,0.675587508,0.210316529,-0.677126593,0.400655471,-0.397228923,4.041405882,0.606532469,102.0566294,2.008841221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lettuce,352,Green,Norfolk,PC-350,PC,350,2,4,LS,2.3622,23.622,1.3733,0.154306121,39.415,0.678741135,16.6857167,154.6600806,2.2,5406.895161,3.7329,,,110.0860887,2.0417,18683.32661,4.2715,18.6833,1.2715,3624.475806,3.5592,177.5092742,2.2492,384.4939516,2.5849,3299.314516,3.5184,71.14475806,1.8521,0.211,-0.676,1.116,0.047703108,0.026362152,-1.57901914,172.60065,2.237042427,6.034095,0.780612143,122.856075,2.089396636,20.8505925,1.319118401,4.044915,0.6069094,0.19810035,-0.703114757,0.42909525,-0.367446293,3.682035,0.566087912,79.39755,1.899807101, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
